people_count,occupancy_ratio,avg_person_area,avg_distance,min_distance,spatial_spread,top_region_count,middle_region_count,bottom_region_count,frame_occupancy_density,density_label
26,0.831071,0.028538,0.062702,0.002,0.5,7,17,2,95.229951,HIGH
28,0.700372,0.024105,0.14817,0.058331,0.143948,2,19,7,111.616844,HIGH
4,0.017414,0.011963,0.650429,0.447453,0.129004,3,0,1,2.174194,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
1,0.057511,0.045852,0.503506,0.292905,0.348012,0,0,1,0.260008,LOW
6,0.184958,0.035059,0.197659,0.114238,0.422468,0,4,2,10.921529,MEDIUM
45,0.704346,0.015255,0.045791,0.002,0.291661,4,33,8,115.331838,HIGH
4,0.224414,0.05766,0.166887,0.081559,0.130224,1,2,1,6.291936,MEDIUM
59,0.584525,0.003851,0.146359,0.109083,0.210479,29,14,16,96.727272,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
12,0.269695,0.023148,0.340515,0.267689,0.263949,10,1,1,16.844532,MEDIUM
39,0.773432,0.024383,0.093032,0.002,0.288956,16,16,7,120.312733,HIGH
3,0.203672,0.063974,0.16979,0.02,0.429283,3,0,0,7.816542,MEDIUM
21,0.758601,0.034823,0.044714,0.002,0.287152,7,13,1,50.703541,HIGH
1,0.050924,0.04335,0.604168,0.541326,0.240348,0,1,0,0.975502,LOW
36,0.385744,0.012832,0.036952,0.002,0.02,19,7,10,134.353616,HIGH
11,0.518742,0.04018,0.131714,0.120981,0.112106,1,8,2,21.062192,HIGH
6,0.329885,0.058532,0.229901,0.117545,0.477211,2,4,0,16.266992,MEDIUM
3,0.019048,0.001,0.863744,0.736986,0.473028,1,2,0,4.154642,LOW
2,0.003646,0.001,0.700211,0.61898,0.368708,1,1,0,2.053685,LOW
18,0.827458,0.05102,0.204353,0.197394,0.087111,1,17,0,65.811948,HIGH
55,0.460052,0.009416,0.11858,0.092196,0.256404,26,29,0,100.557525,HIGH
13,0.743167,0.059348,0.212654,0.16716,0.086725,5,2,6,30.353743,HIGH
45,0.696087,0.016912,0.181951,0.158255,0.285051,2,30,13,143.588323,HIGH
59,0.810693,0.005004,0.103277,0.056216,0.219912,24,30,5,128.685344,HIGH
4,0.037499,0.006744,0.476276,0.340265,0.470249,0,3,1,1.323601,LOW
10,0.705414,0.072967,0.040223,0.002,0.295409,1,2,7,21.977326,HIGH
31,0.752387,0.024538,0.106148,0.07014,0.208895,3,20,8,104.308165,HIGH
28,0.535791,0.02085,0.111603,0.06282,0.460854,2,7,19,99.672516,HIGH
30,0.672264,0.028073,0.284281,0.244124,0.156893,6,24,0,105.064847,HIGH
37,0.469003,0.017972,0.083285,0.002,0.229631,9,22,6,114.99971,HIGH
9,0.259758,0.023237,0.151617,0.083191,0.181341,0,5,4,11.715514,MEDIUM
58,0.787174,0.012056,0.15215,0.098403,0.216786,29,8,21,150.0,HIGH
57,0.611955,0.013087,0.175351,0.131587,0.18758,35,7,15,150.0,HIGH
1,0.043535,0.062909,0.666053,0.572803,0.170242,0,1,0,0.536931,LOW
2,0.036965,0.014629,0.977794,0.739618,0.323289,1,0,1,1.951623,LOW
2,0.076378,0.046861,0.343679,0.117458,0.198626,0,2,0,3.065922,LOW
3,0.011753,0.009603,0.490233,0.306125,0.26294,0,3,0,2.556496,LOW
31,0.579193,0.019883,0.151527,0.073998,0.095511,1,20,10,104.099643,HIGH
1,0.050947,0.048032,0.699727,0.560666,0.263137,0,0,1,0.72215,LOW
45,0.805006,0.016556,0.15932,0.119377,0.269162,3,28,14,79.774224,HIGH
4,0.020411,0.001,0.333027,0.191961,0.424806,0,2,2,4.944154,LOW
51,0.798544,0.019858,0.137341,0.09719,0.027099,9,41,1,150.0,HIGH
4,0.106666,0.027519,0.226076,0.144137,0.207445,4,0,0,6.981824,MEDIUM
31,0.742409,0.026635,0.203122,0.1402,0.37735,6,25,0,95.887515,HIGH
1,0.03196,0.014878,0.605476,0.370842,0.210409,0,1,0,1.514912,LOW
4,0.006322,0.013399,0.874523,0.629986,0.168329,2,2,0,5.0,LOW
4,0.029545,0.001453,0.725986,0.556716,0.106739,0,3,1,3.031768,LOW
6,0.322223,0.058797,0.124292,0.02,0.238439,5,1,0,9.529203,MEDIUM
4,0.22127,0.047506,0.549165,0.460183,0.102215,3,0,1,10.453707,MEDIUM
3,0.105698,0.033309,0.22772,0.14164,0.260136,1,1,1,7.506847,MEDIUM
10,0.206263,0.022949,0.133647,0.02,0.266603,5,2,3,22.537321,MEDIUM
56,0.689813,0.011221,0.036323,0.013481,0.362451,1,30,25,150.0,HIGH
18,0.828668,0.052711,0.209045,0.175523,0.294873,3,9,6,29.398347,HIGH
6,0.164375,0.029954,0.413512,0.310941,0.32459,0,1,5,17.19008,MEDIUM
6,0.083581,0.01998,0.1271,0.02,0.398133,1,2,3,14.386793,MEDIUM
1,0.001,0.001,0.59539,0.517219,0.0,0,1,0,1.069356,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.014062,0.013274,0.767425,0.663082,0.402221,0,1,2,4.383946,LOW
12,0.298489,0.02178,0.467863,0.401888,0.526711,1,11,0,25.0,MEDIUM
12,0.236589,0.020912,0.484825,0.403462,0.245487,0,7,5,17.495872,MEDIUM
12,0.13657,0.009382,0.363681,0.176963,0.157811,5,2,5,25.0,MEDIUM
1,0.025073,0.020055,0.771106,0.641393,0.148489,0,1,0,1.274049,LOW
2,0.02506,0.014396,0.42906,0.365493,0.205859,0,0,2,2.866361,LOW
8,0.290787,0.036468,0.527171,0.365309,0.183086,1,6,1,14.214928,MEDIUM
1,0.020322,0.015964,0.851497,0.750131,0.251062,1,0,0,0.949119,LOW
2,0.005419,0.001,0.654159,0.539694,0.317306,0,2,0,0.701373,LOW
10,0.742249,0.076484,0.252859,0.211627,0.167266,8,0,2,21.84558,HIGH
31,0.865695,0.029575,0.257078,0.16924,0.25962,23,3,5,110.291633,HIGH
1,0.021309,0.015242,0.59641,0.385647,0.191169,0,1,0,1.296225,LOW
4,0.043735,0.021653,0.773634,0.527138,0.41673,1,0,3,3.2106,LOW
4,0.228067,0.057938,0.312251,0.159016,0.490528,1,2,1,6.699396,MEDIUM
12,0.35326,0.029364,0.490265,0.29066,0.537324,5,2,5,23.094826,MEDIUM
1,0.027275,0.022126,0.878545,0.655953,0.278428,0,1,0,1.280019,LOW
4,0.319921,0.079044,0.176954,0.043421,0.347417,1,1,2,11.468492,MEDIUM
29,0.486194,0.020017,0.176182,0.080421,0.203111,6,12,11,58.579264,HIGH
8,0.243638,0.032304,0.285968,0.136603,0.278875,2,5,1,19.27513,MEDIUM
7,0.406269,0.059441,0.202059,0.02,0.248185,1,3,3,8.533487,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
4,0.249319,0.060108,0.54714,0.415667,0.197693,2,1,1,4.988195,MEDIUM
41,0.74171,0.018173,0.200851,0.193435,0.409808,26,9,6,114.379332,HIGH
2,0.019327,0.008577,0.863285,0.650705,0.500135,0,1,1,0.922012,LOW
4,0.001,0.001,0.478409,0.394432,0.109738,0,1,3,1.982053,LOW
12,0.216854,0.011413,0.377942,0.276994,0.329347,7,3,2,13.839873,MEDIUM
