people_count,occupancy_ratio,avg_person_area,avg_distance,min_distance,spatial_spread,top_region_count,middle_region_count,bottom_region_count,frame_occupancy_density,density_label
4,0.03223,0.018443,0.347303,0.228872,0.378699,3,0,1,4.260592,LOW
27,0.967331,0.036177,0.255966,0.212342,0.142218,10,16,1,106.687429,HIGH
32,0.784196,0.030314,0.056009,0.012522,0.117704,5,13,14,66.773118,HIGH
10,0.638717,0.068327,0.134433,0.105768,0.198973,1,3,6,37.469788,HIGH
1,0.027247,0.028792,0.478876,0.260155,0.450122,0,0,1,1.398393,LOW
4,0.022776,0.013553,0.33199,0.265101,0.498323,2,1,1,2.161973,LOW
1,0.06726,0.072931,0.819074,0.714463,0.145659,1,0,0,1.329329,LOW
4,0.048456,0.009613,0.62295,0.533989,0.23563,2,0,2,4.491755,LOW
12,0.08,0.009811,0.087284,0.02,0.194054,3,0,9,17.706686,MEDIUM
5,0.170801,0.038874,0.509127,0.419668,0.074797,0,0,5,5.921364,MEDIUM
8,0.499073,0.0666,0.269796,0.168535,0.285995,7,1,0,13.707843,MEDIUM
12,0.617478,0.056581,0.050608,0.002,0.390162,0,9,3,20.807206,HIGH
2,0.072875,0.032897,0.795053,0.648038,0.381456,0,2,0,2.976153,LOW
11,0.154962,0.021869,0.500108,0.370788,0.31723,2,8,1,25.0,MEDIUM
3,0.123666,0.03715,0.131912,0.02,0.122436,1,1,1,4.192496,MEDIUM
11,0.207223,0.015628,0.429371,0.264327,0.17334,8,0,3,23.910262,MEDIUM
36,0.707193,0.016389,0.203677,0.1559,0.403018,1,16,19,130.603945,HIGH
3,0.236349,0.082066,0.264877,0.132543,0.3455,0,1,2,5.921397,MEDIUM
53,0.815906,0.020054,0.215957,0.159163,0.277073,3,45,5,150.0,HIGH
11,0.182576,0.017536,0.395931,0.344774,0.133525,2,1,8,25.0,MEDIUM
12,0.302512,0.028844,0.197625,0.084256,0.393267,4,8,0,25.0,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.003444,0.006026,0.470231,0.253626,0.098753,0,2,1,2.887872,LOW
4,0.001,0.005051,0.266091,0.168276,0.382972,2,1,1,4.161493,LOW
2,0.039771,0.018591,0.890791,0.655716,0.400775,0,2,0,0.704886,LOW
53,0.566552,0.009301,0.005642,0.002,0.060924,35,15,3,122.470165,HIGH
3,0.288779,0.087933,0.398339,0.341772,0.186167,0,3,0,5.43036,MEDIUM
2,0.06467,0.024069,0.701768,0.49111,0.261778,0,1,1,1.782778,LOW
24,0.613918,0.027847,0.230007,0.19828,0.281273,3,6,15,93.472211,HIGH
2,0.039052,0.025594,0.622062,0.459367,0.306031,0,2,0,1.444344,LOW
53,0.843106,0.020916,0.196579,0.158789,0.079025,7,3,43,109.433911,HIGH
53,0.836111,0.014821,0.010149,0.002,0.109685,21,15,17,150.0,HIGH
23,0.429122,0.020631,0.189214,0.136928,0.230088,6,10,7,63.702673,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
30,0.515207,0.015638,0.005,0.002,0.360016,18,8,4,115.785515,HIGH
33,0.657245,0.018868,0.057403,0.002759,0.054695,17,4,12,93.815578,HIGH
31,0.7076,0.02093,0.113238,0.018804,0.289694,10,9,12,84.058852,HIGH
12,0.173265,0.022542,0.544112,0.432915,0.500766,1,5,6,12.92958,MEDIUM
59,0.537117,0.00428,0.184858,0.172066,0.02,2,23,34,105.827252,HIGH
12,0.08,0.012298,0.29377,0.154583,0.365131,2,1,9,13.153421,MEDIUM
1,0.032347,0.042391,0.750689,0.586475,0.201858,0,1,0,1.308932,LOW
4,0.032344,0.012383,0.619062,0.418752,0.20248,3,1,0,4.031891,LOW
34,0.562365,0.016868,0.041508,0.033382,0.233093,4,21,9,56.257329,HIGH
12,0.16195,0.005,0.157972,0.02,0.422029,5,3,4,19.375771,MEDIUM
2,0.034564,0.016683,0.42548,0.357984,0.304702,0,2,0,2.11017,LOW
5,0.166991,0.038033,0.407377,0.216632,0.168167,3,1,1,5.305776,MEDIUM
2,0.027492,0.018035,0.442007,0.283303,0.101475,2,0,0,1.315052,LOW
